edge_id,date_or_range,source_node,target_node,relation,object_or_practice,evidence_level,claim_boundary,archive_or_source
DM001,20 Feb 1858,British Museum Mineralogy Department,Thomas Davies,appoints,"3rd Class Attendant; formally low-status/non-scientific grade",A_ADMIN,"NHM authority gives appointment date; later BM history characterizes attendant duties as non-scientific",NHM PX1373; British Museum History of Collections
DM002,1858-early 1860s,Nevil Story-Maskelyne,Thomas Davies,trains,"microscopic characters of rock-forming minerals in meteorite/rock thin sections",A_RELATION,"Workplace apprenticeship; no WMC teaching relation implied",L Fletcher obituary Mineralogical Magazine 10 (1893)
DM003,1860-1862,Thomas Davies,British Museum meteorite collection,documents,"list of meteorites; collection/cataloguing labour",A_ARCHIVE,"Contemporaneous Davies-authored list; exact fields and microscopy annotations require inspection",DF/MIN/10/1/6
DM004,1860-1862,Nevil Story-Maskelyne,British Museum accommodation inquiry,documents_constraints,"notes/evidence concerning accommodation for mineral collection",A_ARCHIVE,"Potential context for laboratory/spatial constraints; exact microscope content unverified",DF/MIN/13/2
DM005,1861,Nevil Story-Maskelyne,British Museum Trustees/reporting,departmental_reporting,"progress reports/memoranda; aerolite observation/collection material",A_ARCHIVE,"High-priority early contemporaneous administrative source",DF/MIN/4/61
DM006,1861,British Museum Mineralogy Department,meteorite thin-section work,constructs_uses_instrument,"microscope with revolving graduated stage; eyepiece goniometer; polarized-light thin-section examination",A_METHOD,"Known from later institutional history; maker and exact surviving apparatus still open",British Museum An Introduction to the Study of Meteorites
DM007,1858-1860s?,Working Men's College,Thomas Davies,evening_education,"French and German / general education",A_BIOGRAPHICAL,"Attendance and acquired languages explicit; exact class dates/register entries still open",L Fletcher obituary 1893; LMA/4535 target
DM008,25 Aug 1862,British Museum Mineralogy Department,Thomas Davies,promotes,"Transcriber / Junior Assistant / 2nd Class Assistant",A_ADMIN,"NHM authority + BM history support 1862; Fletcher gives 1869 and remains a documented discrepancy",NHM PX1373
DM009,1866,Working Men's College,N S Maskelyne,council_member,"institutional governance",A_PRIMARY,"Official programme lists Maskelyne on Council; does not list him among that term's regular Physical Sciences class teachers",WMC Thirteenth Year programme 1866
DM010,19c; exact dates open,N S Maskelyne,Working Men's College,frequent_lecturer,"repeated lectures; subject unknown",B_NEAR_PRIMARY,"Royal Society obituary attests frequent lecturing; mineralogy/microscopy topic not established",Royal Society obituary 1911
DM011,19c; exact dates open,Working Men's College,adult students,science_curriculum,"Botany Physiology Geology/Physical Geography Mechanics Hydrostatics Optics; named 1866 Physical Science classes",A_PRIMARY,"Institutional curriculum does not prove Davies attendance",WMC Thirteenth Year programme 1866
