id,year,section,language,chunk
src_cutting_1870,1870,primary,English,bibliography-01.csv
src_gronland_1872,1872,primary,French,bibliography-01.csv
src_martin_1872,1872,primary,English,bibliography-01.csv
src_davies_1873,1873,primary,English,bibliography-01.csv
src_bachmann_1879,1879,primary,German,bibliography-01.csv
src_dohrn_1881,1881,primary,German,bibliography-01.csv
src_meyers_1888,1888,primary,German,bibliography-01.csv
lit_garner_horie_1984,1984,research,English,bibliography-01.csv
lit_brunner_blueford_1986,1986,research,English,bibliography-02.csv
lit_bracegirdle_1994,1994,research,English,bibliography-02.csv
lit_brown_1997,1997,research,English,bibliography-02.csv
lit_bracegirdle_1998,1998,research,English,bibliography-02.csv
lit_brown_storage_1998,1998,research,English,bibliography-02.csv
lit_brown_boise_2005,2005,research,English,bibliography-02.csv
lit_brown_boise_2006,2006,research,English,bibliography-02.csv
lit_allington_sherlock_2007,2007,research,English,bibliography-02.csv
lit_allington_jones_2008,2008,research,English,bibliography-03.csv
lit_anderson_lowe_2010,2010,research,English,bibliography-03.csv
lit_deroin_offroy_decary_2012,2012,research,English,bibliography-03.csv
lit_fiorentini_2013,2013,research,English,bibliography-03.csv
lit_lowy_slides_2013,2013,research,English,bibliography-03.csv
lit_lowy_sex_slide_2013,2013,research,English,bibliography-03.csv
lit_gaycken_2013,2013,research,English,bibliography-03.csv
lit_close_koenig_2013,2013,research,English,bibliography-03.csv
lit_meunier_herbin_2014,2014,research,French,bibliography-04.csv
lit_nall_elcock_2015,2015,research,English,bibliography-04.csv
lit_schmid_2016,2016,research,English,bibliography-04.csv
lit_neuhaus_2017,2017,research,English,bibliography-04.csv
lit_sanchez_almazan_2017,2017,research,Spanish,bibliography-04.csv
lit_deroin_vantieghem_2018,2018,research,English,bibliography-04.csv
lit_bentivoglio_2019,2019,research,English,bibliography-04.csv
lit_lambers_2019,2019,research,Dutch,bibliography-04.csv
lit_braga_2021,2021,research,English,bibliography-05.csv
lit_beiermann_2021,2021,research,English,bibliography-05.csv
lit_schmid_ageing_2021,2021,research,English,bibliography-05.csv
lit_goldoni_2022,2022,research,Italian,bibliography-05.csv
lit_deroin_benoist_2024,2024,research,English,bibliography-05.csv
lit_sigee_2025,2025,research,English,bibliography-05.csv
lit_pantoja_jones_2025,2025,research,English,bibliography-05.csv
lit_gimat_2026,2026,research,English,bibliography-05.csv
lit_dieguez_caballero_1992,1992,research,Spanish,bibliography-06.csv
lit_billen_wilson_2008,2008,research,English,bibliography-06.csv
lit_stiel_2023,2023,research,German,bibliography-06.csv
lit_billen_parmentier_2025,2025,research,English,bibliography-06.csv
lit_muller_labels_2025,2025,research,English,bibliography-06.csv
src_bourgogne_1862,1862,primary,French,bibliography-07.csv
src_moller_1868,1868,primary,German,bibliography-07.csv
src_norman_1872,1872,primary,English,bibliography-07.csv
src_thum_herstellung_1880,1880,primary,German,bibliography-07.csv
src_thum_sammeln_1880,1880,primary,German,bibliography-07.csv
src_wheeler_1880,1880,primary,English,bibliography-07.csv
src_watson_1885,1885,primary,English,bibliography-07.csv
src_caballero_1897,1897,primary,Spanish,bibliography-07.csv
lit_girodet_tempere_1999,1999,research,English,bibliography-07.csv
lit_girodet_france_2000,2000,research,English,bibliography-07.csv
lit_girodet_bourgogne_2001,2001,research,English,bibliography-07.csv
src_cole_studies_1883,1883,primary,English,bibliography-08.csv
src_tempere_peragallo_1889,1889,primary,French,bibliography-08.csv
lit_nuttall_topping_2002,2002,research,English,bibliography-08.csv
lit_lynk_nuttall_topping_2005,2005,research,English,bibliography-08.csv
lit_garcia_marin_thesis_2006,2006,research,Spanish,bibliography-08.csv
lit_davidson_topping_2007,2007,research,English,bibliography-08.csv
lit_garcia_freire_lopez_2007,2007,research,Spanish,bibliography-08.csv
lit_davidson_lynk_topping_2010,2010,research,English,bibliography-08.csv
lit_rippa_bonati_pacini_2012,2012,research,English,bibliography-08.csv
lit_lynk_topping_2018,2018,research,English,bibliography-08.csv
src_eulenstein_species_1867,1867,primary,Latin,bibliography-09.csv
src_cleve_moller_diatoms_1877,1877,primary,English,bibliography-09.csv
lit_davidson_enock_1992,1992,research,English,bibliography-09.csv
lit_bracegirdle_norman_1996,1996,research,English,bibliography-09.csv
lit_darnton_norman_1999,1999,research,English,bibliography-09.csv
lit_rosenbauer_2003,2003,research,German,bibliography-09.csv
lit_paisley_norman_2012,2012,research,English,bibliography-09.csv
lit_stevenson_warren_wheeler_2015,2015,research,English,bibliography-09.csv
lit_lynk_quekett_2015,2015,research,English,bibliography-09.csv
src_smith_beck_transparent_1861,1861,primary,English,bibliography-10.csv
lit_bracegirdle_warren_diamond_1996,1996,research,English,bibliography-10.csv
lit_warren_microphoto_2009,2009,research,English,bibliography-10.csv
lit_stevenson_jwb_jb_2010,2010,research,English,bibliography-10.csv
lit_staroscik_davidson_parry_2011,2011,research,English,bibliography-10.csv
lit_wilkinson_dancer_2011,2011,research,English,bibliography-10.csv
lit_lynk_smith_beck_2012,2012,research,English,bibliography-10.csv
