old_print_no,old_scene_summary,old_dimensions_cm,old_inscription_or_signature,old_acquisition_or_provenance,old_series_relation,current_candidate_accessions,current_catalogue_label,mapping_confidence,mapping_basis,recovered_intro_topics,status,ambiguity_notes
1,"winter/New Year scene: woman in long blue fur-lined robe at square table; three boys, one lighting firecrackers; two dogs; narcissus and Three Friends of Winter",110 x 60,"麟兒集慶新年瑞; 姑蘓信德號","Prints 1-4 bought from Chinese Porcelain Company, New York; another Print 1 paired with Print 5 at China Guardian 2008 from UK; seven examples later noted at Esterházy","diptych with Print 8; shared floor, threshold, folding doors, carved railing, inscription boards","CMA:2025.49 | MET:2025.378","Gusu Beauty–Winter / Gusu Beauty in Winter",candidate_high_group,"exact winter title family + Print 1 and Print 8 are the two old winter diptych designs; current corpus contains multiple winter-titled Beauty impressions but exact allocation requires scene/signature check","New Year iconography; winter plants; Xinde Studio signature; European/auction comparanda; diptych structure",candidate_same_title_multiple_designs,"Do not assign Print 1 to CMA 2025.49 or MET 2025.378 solely from title. Distinguish by firecrackers/three boys/two dogs/Xinde inscription."
2,"woman leaning on red wooden balustrade watching two boys playing; light white robe; architectural/garden elements continue into Print 5",,"","Prints 1-4 bought from Chinese Porcelain Company, New York","member of tetraptych 2+5+6+7 representing four seasons; joins directly to Print 5","CMA:2025.48 | CMA:2025.50","Four Seasons–Spring / Four Seasons–Autumn",candidate_two_way,"CMA 2025.46/48/50/51 are a four-season Beauty group matching old tetraptych; Print 5 is Summer and Print 6 Winter, leaving Print 2 and 7 as Spring/Autumn","four-season sequencing; continuous architecture; child costume and garden detail; acquisition history",candidate_season_pending,"Need seasonal flora/weather or current CMA scene description to choose Spring vs Autumn."
3,"lady at rectangular painting table with brush and painting materials, four boys; covered loggia/terrace, garden and water",107 x 57,"","Prints 1-4 bought from Chinese Porcelain Company, New York; Château de Filières comparison","diptych with Print 4; continuous floor, stairs, red railing, covered walkway and flowering tree","unresolved","Gusu Beauties series",unresolved,"old scene and diptych structure are well documented, but no present accession is yet securely identified","painting/writing implements; children; garden architecture; diptych structure; Château de Filières comparandum",unlocated_old_design,"Do not conflate with MET 2025.379-382 Women Teaching Children the Four Accomplishments without visual proof."
4,"woman on taihu rock beneath blossoming tree points with brush into open book held by boy; three other boys bundle books",107 x 57,"","Prints 1-4 bought from Chinese Porcelain Company, New York; Château de Filières comparison","diptych with Print 3; continuous terrace/garden architecture","unresolved","Gusu Beauties series",unresolved,"old scene and diptych structure are well documented, but no present accession is yet securely identified","teaching/reading; book bundles; garden architecture; diptych structure; Château de Filières comparandum",unlocated_old_design,"Search current titles/descriptions for reading/teaching and verify by composition before mapping."
5,"woman at black pedestal arranging lotus flowers/leaves in dragon-decorated round vase; boys assisting",,"","Author acquired Print 5 with Print 9 at provincial UK sale in 2010; another Print 5 paired with Print 1 at China Guardian 2008","member of tetraptych 2+5+6+7 representing four seasons; directly joins Print 2 and Print 7","CMA:2025.46","Gusu Beauties of the Four Seasons–Summer",high,"old tetraptych is explicitly four seasons; lotus is the diagnostic summer motif and CMA has one Summer member in corresponding four-season group","lotus/summer iconography; continuous tetraptych architecture; UK/China Guardian comparanda; multi-part display logic",probable_series_component,"Promote to very_high only after current CMA scene/inscription confirms lotus-vase composition."
6,"woman holding small child with two bigger boys; sable hats/long robes; snow and ice outside; bare trees; boy carries warmer/incense burner",98 x 55,"","Château de Filières example; author's Print 6 came from London sale 2011 on North Italian giltwood three-leaf screen","member of tetraptych 2+5+6+7 representing four seasons","CMA:2025.51","Gusu Beauties of the Four Seasons–Winter",high,"blog explicitly identifies winter from clothing, snow and ice; CMA has one Winter member in corresponding four-season group","winter clothing/weather; screen provenance; Italian/decorator hypothesis; four-season/tetraptych structure",probable_series_component,"Promote to very_high after current CMA scene confirms woman with child, two boys and snow/ice."
7,"woman seated on marble couch with feather fan, books and three boys playing on floor",,"","Author's Print 7 came from London sale 2011 on North Italian giltwood three-leaf screen","member of tetraptych 2+5+6+7 representing four seasons; joins Print 5 via couch, railing, stools, open book and cushion","CMA:2025.48 | CMA:2025.50","Four Seasons–Spring / Four Seasons–Autumn",candidate_two_way,"Print 5=Summer and Print 6=Winter leave Print 2/7 to map to Spring/Autumn","seasonal domestic leisure; books/fan; screen provenance; tetraptych join evidence",candidate_season_pending,"Need seasonal flora/weather or current CMA scene description to choose Spring vs Autumn."
8,"winter scene: woman holds small child; two older boys play/kick a feathered ball; winter dress",,"鳳子歡呼樂嵗朝; 吳門管瑞玉寫","Château de Filières and Esterházy examples; unique chest-mounted impression documented in Sweden and now MET 2025.460","diptych with Print 1; shared floor, threshold, folding doors, carved railing and paired inscription boards","MET:2025.460 (design exact) | CMA:2025.49 | MET:2025.378","Gusu Beauty No.8 design / current standalone Winter records",very_high_for_2025_460_design,"2015 blog explicitly identifies chest print as Gusu Beauty No.8; 2022 blog repeats Guan Ruiyu signature; standalone current impressions require separate allocation","Guan Ruiyu signature; winter/New Year scene; diptych with Xinde-signed Print 1; chest reuse and European circulation",verified_design_plus_unresolved_standalones,"MET 2025.460 is exact design-level identity. Do not assume CMA 2025.49 or MET 2025.378 is the author's former Print 8 impression without scene/provenance evidence."
9,"woman seated hugging chair back, holding large round transparent fan with spotted-bamboo handle",,"","Author acquired Print 9 with Print 5 at provincial UK sale in 2010","no firm multi-part relation currently established","unresolved","Gusu Beauties series",unresolved,"distinct old scene recorded, current accession not yet identified","fan/bamboo furnishing; UK acquisition; series domestic setting",unlocated_old_design,"Check present museum titles/images for fan-bearing seated beauty."
10,"woman helps boy holding sprig down steps to pond; doubled-roof pavilion; couch and bundles of books visible",,"","Author's Print 10 came from London sale 2011 on North Italian giltwood three-leaf screen","no firm multi-part relation currently established","unresolved","Gusu Beauties series",unresolved,"distinct old scene recorded, current accession not yet identified","mother/child interaction; pond/pavilion; books; screen provenance and Italian/decorator hypothesis",unlocated_old_design,"CMA 2025.47 Mother and Son in a Summer Pavilion is a semantic candidate, but do not promote without compositional match."
