museum_code,accession,record_kind,current_title_en,current_title_zh,book_catalogue_no,book_page,old_blog_post,old_blog_date,old_blog_url,old_title_or_caption,author_collection_explicit,old_dimensions_cm,old_signature_or_attribution,recovered_topics,match_basis,confidence,status,notes
CMA,2025.84,object,Gathering Osmanthus,折桂圖,52,198-199,LADY PLAYING THE QIN WATCHED BY RABBITS,2022-09-20,https://chiwoopri.wordpress.com/2022/09/20/lady-playing-the-qin-watched-by-rabbits/,Zhe Gui Tu 折桂圖 / Gathering Osmanthus,1,119.3 x 62.2,"paired with Gongyuan Tu; attribution reasoning toward Guan Lian","pairing with 宮苑圖; Guan Lian/Guan Ruiyu/Xinde Studio network; attribution argument; dimensions","exact Chinese and English title + explicit Author's collection + dimensions consistent with CMA + independently fixed book no.52/page anchor",very_high,verified_prepublication_text_ancestor,"Blog is evidence for pre-publication research ancestry, not proof of verbatim catalogue wording. Book pages 198-199 remain medium-confidence reading."
CMA,2025.83,object,Music in the Jade Palace,瓊宮樂奏圖,,,A UNIQUE CHINESE PRINT WITH WESTERN INFLUENCE,2024-10-16,https://chiwoopri.wordpress.com/2024/10/16/a-unique-chinese-print-with-western-influence/,Qionggong Yuezou Tu 瓊宮樂奏圖,1,,"signed Han Huaide according to blog","shared Swedish-family provenance with Xiyang Lou; Swedish East India Company family ties; long rolled storage on mangle roller; Han Huaide attribution context","exact Chinese title + explicit Author's collection + direct provenance discussion; current CMA title is exact translation",very_high,verified_prepublication_text_ancestor,"Same blog post also anchors MET 2025.422; useful for reconstructing cross-entry comparison/provenance prose."
MET,2025.422,object,View of Western architecture,,,,A UNIQUE CHINESE PRINT WITH WESTERN INFLUENCE,2024-10-16,https://chiwoopri.wordpress.com/2024/10/16/a-unique-chinese-print-with-western-influence/,Xiyang Lou / Western architecture print,1,,"possible Han Huaide attribution argued, not asserted as signed","Western buildings; linear perspective and crosshatching; foreign figures/script; lingzhi; possible Jesuit; comparison to Umi-Mori Epang Gong Tu and Liaoning Xiyang Juchang Tu; Swedish-family provenance","current Met title and composition correspond directly to blog's Xiyang Lou subject + explicit Author's collection + shared provenance with CMA 2025.83",very_high,verified_prepublication_text_ancestor,"Preserve Han Huaide as a hypothesis/argument from the blog, not a settled attribution."
MET,2025.389,object,Twenty-Eight Constellations Battle at Kunyang,,,,EARLY CHINESE PRINTS IN GERMANY,2021-12-08,https://chiwoopri.wordpress.com/2021/12/08/early-chinese-prints-in-germany/,Ershiba Xiu Nao Kunyang 二十八宿鬧昆陽 / Twenty-Eight Constellations Battle at Kunyang,1,102.5 x 54.2,"Jinling Cao Sheng xie 金陵曹陞寫","Cao Sheng authorship/signature; relation to other Cao Sheng prints and European collections; dimensions","exact English title + distinctive Chinese title in blog + explicit Author's collection",very_high,verified_prepublication_text_ancestor,"Strong candidate for recovering the catalogue entry's artist/comparanda apparatus."
MET,2025.396,object,Zhaojun Leaves for the North,,,,THE LÜ 吕 FAMILY AND THEIR PRINTS,2020-02-09,https://chiwoopri.wordpress.com/2020/02/09/the-lu-family-and-their-prints/,Zhaojun Chusai 昭君出塞 / Zhaojun Leaves for the North,1,"c. 60 x 38 family format","Gusu Lü Yuntai Zi Junhan Faxing 姑蘇呂雲臺子君翰發行","Lü Junhan family/studio genealogy; signature; portrait-format innovation; three-part circular/fan/rectangular layout; Kangxi dating context","exact English title + explicit Author's collection + distinctive layout/signature",very_high,verified_prepublication_text_ancestor,"Blog's c.60x38 statement describes Junhan's format generally; do not treat as an individually measured dimension unless separately confirmed."
CMA,2025.91,compound_cover,Two Prints: Mu Yuying Smashes the Gate of Heaven Formation; Happy Fisherfolk,穆御英大破天門陣; 漁家歡樂,,,THE LÜ 吕 FAMILY AND THEIR PRINTS,2020-02-09,https://chiwoopri.wordpress.com/2020/02/09/the-lu-family-and-their-prints/,Mu Yuying Dapo Tianmen Zhen 穆御英大破天門陣 / Mu Yuying Breaks Heavenly Formation,1,"c. 38 x 60 Lü Yuntai landscape-group format","Lü Yuntai Faxing 呂雲台發行","Lü Yuntai studio/signature; Bei Temple/Taohuawu workshop context; Kangxi dating via family corpus","exact Chinese title inside current CMA two-print record + explicit Author's collection",very_high,verified_prepublication_text_ancestor_component,"CMA accession 2025.91 is a compound record for two physical prints bound along the middle; this row represents the Mu Yuying component, not an independent accession."
CMA,2025.91,compound_cover,Two Prints: Mu Yuying Smashes the Gate of Heaven Formation; Happy Fisherfolk,穆御英大破天門陣; 漁家歡樂,,,THE LÜ 吕 FAMILY AND THEIR PRINTS,2020-02-09,https://chiwoopri.wordpress.com/2020/02/09/the-lu-family-and-their-prints/,Yu Jia Huan Le 漁家歡樂 / Happy Fisherfolk,1,"c. 38 x 60 Lü Tianzhi landscape-group format","Gusu Lü Yuntai Zi Tianzhi Faxing 姑蘇呂雲臺子天植發行","Lü Tianzhi genealogy/signature; scene with 61 people fishing; comparison to two Dresden impressions inventoried in 1738; Kangxi dating context","exact Chinese and English title inside current CMA two-print record + explicit Author's collection",very_high,verified_prepublication_text_ancestor_component,"CMA accession 2025.91 is a compound record; blog provides substantial comparanda likely relevant to the catalogue description."
MET,2025.420,object,Spring Morning in the Han Palace,,,,LADY PLAYING THE QIN WATCHED BY RABBITS,2022-09-20,https://chiwoopri.wordpress.com/2022/09/20/lady-playing-the-qin-watched-by-rabbits/,Han Gong Chunxiao 漢宮春曉 / Spring Morning in the Han Palace,1,30 x 30,"Gusu Guan Ruiyu cang ban 姑蘇管瑞玉藏板; title text signed Yufeng Guan Lian xie yu yunshui ge 玉峰管聯寫于雲水閣","Guan Ruiyu/Guan Lian relationship; Xinde/Guan workshop corpus; signatures and inscription; dimensions","exact English title + explicit Author's collection + distinctive signatures",very_high,verified_prepublication_text_ancestor,"Part of the same Guan Ruiyu/Guan Lian research cluster as Gathering Osmanthus."
MET,2025.423,object,A Hunt on the Plains,,,,LADY PLAYING THE QIN WATCHED BY RABBITS,2022-09-20,https://chiwoopri.wordpress.com/2022/09/20/lady-playing-the-qin-watched-by-rabbits/,Pingyuan Wei Lie 平原圍獵 / Great Hunt on the Plain,1,114 x 56.2,"Gusu Guan Ruiyu cang ban 姑蘇管瑞玉藏板","Guan Ruiyu workshop/signature; dimensions; place within newly reconstructed Guan corpus","near-exact English semantic title + explicit Author's collection + signature + dimensions in same Guan corpus",high,verified_prepublication_text_ancestor,"Current Met title 'A Hunt on the Plains' is a wording variant of blog 'Great Hunt on the Plain'; identity is strongly supported by the distinctive Chinese title and Guan signature context."
MET,2025.370,object,Basin of Accumulated Treasures,,,,Prints in Schloss Wörlitz 2 – Jubaopen,2020-01-27,https://chiwoopri.wordpress.com/2020/01/27/prints-in-schloss-worlitz-2-jubaopen/,Jubaopen 聚寶盆 / Basin of Treasure,1,105 x 54.5,,"three joined woodblocks forming continuous scene; Shen Wansan; money tree; treasure basin; money dragon; Liu Hai and three-legged toad; Hehe Erxian; Fu-Lu-Shou; auspicious homophones; foreign tribute bearers; possible seventeenth-century Suzhou kunqu Jubaopen source; Akita and Wörlitz comparanda; Qianlong dating by Wörlitz terminus","exact Chinese subject/title + near-exact English title + explicit statement example also in my collection + blog dimensions 105 x 54.5 cm versus Met image 105.1 x 54.6 cm",very_high,verified_prepublication_text_ancestor,"One of the strongest identity matches because dimensions independently converge to within millimetres. Blog's historical/iconographic claims should be preserved as the author's interpretation, not silently converted into museum fact."
